H01-1001.1,Oral communication
H91-1067.8,subcategorization frames
H91-1067.9,subcategorization dictionary 
H91-1067.10,NLP community
H91-1067.11, dictionaries 
H91-1067.12,corpora
A97-1021.1,repositories
A97-1021.2,lexical conceptual structure (LCS) representations 
A97-1021.3,verbs
A97-1021.4,languages
A97-1021.5,broad semantic classes 
A97-1021.6,LCS meaning components
A97-1021.7,acquisition program - LEXICALL - 
A97-1021.8,verb classification
A97-1021.9,thematic grid tagging
A97-1021.10,LCS representations 
A97-1021.11,languages
A97-1021.12, representations 
A97-1021.13,English, Arabic and Spanish lexicons
A97-1021.14,verbs
A97-1021.15,lexicons 
A97-1021.16,operational foreign language tutoring
A97-1021.17,machine translation
A97-1050.1,algorithm for translation lexicon acquisition (SABLE)
A97-1050.2,corpus
A97-1050.3,translation lexicons
A97-1050.4,algorithm
A97-1050.5,corpus
A97-1050.6,domain-specific translation lexicons
J87-1003.1,English
J87-1003.2,coordinations
J87-1003.3,strictly syntactic cross-serial agreement
J87-1003.4,agreement
J87-1003.5,number
J87-1003.6,nouns 
J87-1003.7,reflexive pronouns
J87-1003.8,grammatical number
J87-1003.9, English
J87-1003.10,grammatical gender
J87-1003.11, languages 
J87-1003.12,French
J87-1003.13,Interchange Lemma
J87-1003.14,English
J87-1003.15,grammatical sentences 
J87-1003.16,coordinate phrases
J87-1003.17,conjuncts
J87-1003.18,constructions
J87-1003.19,conjuncts 
J87-1003.20,scope
J87-1003.21,arguments 
I05-5004.1,compositional classes of paraphrases
I05-5004.2,class-oriented framework
I05-5004.3, paraphrase examples
I05-5004.4,sentential paraphrases
I05-5004.5,paraphrase class
I05-5004.6, automatic candidate generation 
I05-5004.7,manual judgement
I05-5004.8,paraphrase corpus 
I05-5004.9,cost-efficiency
I05-5004.10,exhaustiveness
I05-5004.11,reliability
P81-1033.1,flexible parser
P81-1033.2,grammar
P81-1033.3,parser 
P81-1033.4,correction 
P81-1033.5, ambiguity 
P81-1033.6,parser
P81-1033.7,Focused interaction
P81-1033.8,construction-specific approach 
P81-1033.9,flexible parsing
P81-1033.10,specialized parsing techniques 
P81-1033.11,construction
P81-1033.12,ambiguity representations 
P81-1033.13,ambiguity
P81-1033.14,construction 
P81-1033.15,construction-specific approach
P81-1033.16,task-specific language development 
P81-1033.17,language definition
P81-1033.18,task domain 
P81-1033.19,uniform grammar formalism
P81-1033.20,testing
P81-1033.21,language definition
P85-1019.1,restricted domain parser
P85-1019.2,Plume
P85-1019.3,Plume's approach to parsing 
P85-1019.4,semantic caseframe instantiation
P85-1019.5,efficiency
P85-1019.6,grammatical input
P85-1019.7,robustness 
P85-1019.8,ungrammatical input
P85-1019.9, Plume 
P85-1019.10,declarative and imperative utterances
P85-1019.11,passives
P85-1019.12,relative clauses
P85-1019.13,interrogatives 
P85-1019.14,syntactic coverage
P85-1019.15,Plume
P85-1019.16,Plume
P85-1019.17,passives
P85-1019.18,relative clauses
P85-1019.19,interrogatives
P91-1025.1,Languages
P91-1025.2,concepts
P91-1025.3,real-world entities 
P91-1025.4,words
P91-1025.5,grammatical constructs
P91-1025.6,translation
P91-1025.7,meaning
P91-1025.8,source language text 
P91-1025.9,target language
P91-1025.10,translation framework
P91-1025.11, Situation Theory
P91-1025.12,information lattice
P91-1025.13,representation scheme
P91-1025.14, utterances 
P91-1025.15,contexts
P91-1025.16,mismatch resolution scheme 
P91-1025.17,information flow
P91-1025.18,translation
P91-1025.19,English
P91-1025.20,Japanese
P95-1034.1,Large-scale natural language generation
P95-1034.2,knowledge
P95-1034.3,robust generator
P95-1034.4,knowledge
P95-1034.5,incomplete or inaccurate inputs
P95-1034.6,hybrid generator
P95-1034.7,symbolic knowledge 
P95-1034.8,statistical methods
P95-1034.9,hybrid generation model
P95-1034.10,generators
P95-1034.11,portability
P95-1034.12,knowledge
P97-1017.1,names
P97-1017.2,technical terms 
P97-1017.3,languages
P97-1017.4,alphabets 
P97-1017.5,sound inventories
P97-1017.6,phonetic equivalents
P97-1017.7,English 
P97-1017.8,Japanese
P97-1017.9,Japanese
P97-1017.10,English
P97-1017.11,text phrases 
P97-1017.12,bilingual dictionaries
P97-1017.13,backwards transliterations
P97-1017.14,machine
P97-1017.15,generative model
P97-1017.16,transliteration process
P97-1058.1,human language
P97-1058.2, syntactic analysis 
P97-1058.3,semantic interpretation
P97-1058.4, context-free complexity
P97-1058.5,speech processing 
P97-1058.6,finite-state models
P97-1058.7,grammar
P97-1058.8,finite-state approximation
P97-1058.9,speech recognition
P97-1058.10, finite-state approximations 
P97-1058.11,context-free grammars
P99-1036.1,statistical model
P99-1036.2,Japanese unknown words 
P99-1036.3,length and spelling models
P99-1036.4,character types 
P99-1036.5,word
P99-1036.6,character sets 
P99-1036.7,character types
P99-1036.8,Japanese script
P99-1036.9, ideograms 
P99-1036.10,Chinese
P99-1036.11,kanji
P99-1036.12,phonograms 
P99-1036.13,English
P99-1036.14,katakana
P99-1036.15,word segmentation accuracy 
P99-1036.16,part of speech tagging accuracy
P99-1036.17,tagging accuracy
P99-1036.18,unknown words 
P99-1080.1,decision-tree approach
P99-1080.2,probabilities 
P99-1080.3,words
P99-1080.4,text
P99-1080.5,decision-tree language model attempts
P99-1080.6,nearly optimal questions
P99-1080.7,The Wall Street Journal
P99-1080.8,tri-gram model
E93-1066.1,full scale two-level morphological description 
E93-1066.2,Turkish word structures
E93-1066.3,PC-KIMMO environment
E93-1066.4,root word lexicon
E93-1066.5,roots words
E93-1066.6,phonological and morphological rules 
E93-1066.7,Turkish
E93-1066.8, agglutinative language 
E93-1066.9,word structures
E93-1066.10,productive affixations of derivational and inflectional suffixes 
E93-1066.11,root words
E93-1066.12,Turkish
E93-1066.13,finite-state 
E93-1066.14,Morphemes
E93-1066.15,root word 
E93-1066.16,stem
E93-1066.17,word
E93-1066.18,nominal
E93-1066.19,verbal structure
E93-1066.20,adverbial constructs
E93-1066.21,surface realizations 
E93-1066.22,morphological constructions
E93-1066.23,phonetic rules
E93-1066.24,vowel harmony
X96-1041.1,TIPSTER Architecture
X96-1041.2,text applications 
X96-1041.3,common text processing modules
X96-1041.4,user interfaces 
X96-1041.5,particular applications
X96-1041.6,user interface styles or conventions
X96-1041.7,TIPSTER Architecture specification
X96-1041.8,Computing Research Laboratory (CRL) 
X96-1041.9,TIPSTER applications
X96-1041.10,Graphical User Interface (GUI) functions
X96-1041.11,GUIs 
X96-1041.12,CRL's TIPSTER User Interface Toolkit (TUIT)
X96-1041.13,TUIT 
X96-1041.14,software library
X96-1041.15,multilingual TIPSTER user interfaces 
X96-1041.16,CRL
X96-1041.17,TUIT 
X96-1041.18,TIPSTER modules
X96-1041.19,TUIT
P02-1008.1,finite-state Optimality Theory
P02-1008.2,comprehension
P02-1008.3,Optimality Theory grammars 
P02-1008.4,finite-state constraints
P02-1008.5, Comprehension 
P02-1008.6,OT
P02-1008.7,production
P02-1008.8,finite-state methods 
P02-1008.9, OT
P02-1008.10,comprehension
P02-1008.11,variants of OT
P02-1008.12,grammars
P02-1008.13,finite-state transducers
P02-1008.14,compilation
P02-1008.15,grammar 
P02-1008.16,regular relations
P02-1008.17, harmony ordering 
P02-1008.18,scored candidates
P98-2176.1,semantic constraints
P98-2176.2,lexical choice
P98-2176.3,contextual indicators
P98-2176.4,indicators
P98-2176.5,correlations 
P98-2176.6,choice of a noun phrase description
P98-2176.7,named entity 
P98-2176.8,supervised learning
P98-2176.9,correlation
P98-2176.10,automatic lexical choice 
P98-2176.11,descriptions
P98-2176.12,entities 
P98-2176.13,text generation
P98-2176.14,pragmatics
P98-2176.15, description 
P98-2176.16,automatically generated text
P98-2176.17,semantics
P98-2176.18,description
P98-2176.19, linguistic structures 
P98-2176.20,large corpora
H94-1024.1,evaluations
H94-1024.2,ARPA HLT Machine Translation (MT) Initiative
H94-1024.3,1993 MT test runs
H94-1024.4,subjective judgments 
H94-1024.5,translation accuracy and quality
H94-1024.6,judgments 
H94-1024.7,non-translators
H94-1024.8,data points 
H94-1024.9,performance
H94-1024.10,research MT systems 
H94-1024.11,production MT systems
H94-1024.12, performance 
H94-1024.13,novice translators
H94-1024.14,evaluation methods 
H94-1024.15,1993 evaluation
H94-1024.16,Winter 1994 evaluation
H94-1024.17,core MT technology 
H94-1024.18,portability
H94-1024.19,MT evaluation methodology
C02-1071.1,deep processing
C02-1071.2,shallow techniques 
C02-1071.3,NLP system
C02-1071.4,linguistic PoS tagger and chunker 
C02-1071.5,broad coverage unification based grammar of Spanish
C02-1071.6,efficiency
C02-1071.7,robustness 
C02-1071.8,linguistic processing
C02-1071.9,accuracy 
C02-1071.10,precision
C02-1071.11,grammar
P06-2067.1,statistical parser 
P06-2067.2,written and spoken language
P06-2067.3,sub-categorization cues
P06-2067.4,written and spoken language
P06-2067.5,Bikel's parser
P06-2067.6,accuracy 
P06-2067.7,written language
P06-2067.8,accuracy 
P06-2067.9,subcategorization cues
P06-2067.10, spoken language
P06-2067.11, extracting subcategorization frames 
P06-2067.12,written texts
P06-2067.13,spoken language
P06-2067.14,punctuation 
P06-2067.15,parsing
P06-2067.16,extraction
P06-2067.17,subcategorization cues
P06-2067.18, punctuation 
P06-2067.19,spoken language
P06-2067.20,subcategorization cues 
P06-2067.21,spoken language
P06-2067.22,punctuation 
P06-2067.23,spoken corpora
P06-2067.24,parsers
C94-1088.1,characters-based Chinese collocation system
C94-1088.2,word-based system
C94-1088.3,wordbreaks 
C94-1088.4,Chinese text corpora
C94-1088.5,character-based collocation system 
C94-1088.6,pre-processing distortion
C94-1088.7,sub-lexical information
C94-1088.8,word-based collocational properties 
C94-1088.9,automatic segmentation
C04-1024.1,bit-vector-based CKY-style parser
C04-1024.2, context-free parsing 
C04-1024.3,parser
C04-1024.4, parse forest representation 
C04-1024.5,analyses for large treebank grammars
C04-1024.6,input sentences
C04-1024.7,parser
C04-1024.8,bit-vector operations 
C04-1024.9,basic parsing operations
C04-1024.10,parser 
N04-1008.1,Question Answering system
N04-1008.2,FAQ-like questions and answers 
N04-1008.3,noisy-channel architecture
N04-1008.4,language model
N04-1008.5,answers
N04-1008.6,transformation model
N04-1008.7,answer/question terms
N04-1008.8,corpus
N04-1008.9, question/answer pairs 
P05-1046.1,information extraction techniques
P05-1046.2,supervised training data
P05-1046.3,field structured extraction tasks
P05-1046.4,prior knowledge 
P05-1046.5,hidden Markov models (HMMs) 
P05-1046.6,generative model
P05-1046.7,field structured text
P05-1046.8,unsupervised HMM learning
P05-1046.9,prior knowledge
P05-1046.10,unsupervised methods
P05-1046.11,accuracies 
P05-1046.12,unlabeled examples
P05-1046.13,supervised methods 
P05-1046.14,labeled examples
P05-1046.15, semi-supervised methods 
P05-1046.16,labeled data
P05-1073.1,semantic role labeling
P05-1073.2,independent classifiers
P05-1073.3,label sequence models
P05-1073.4,Viterbi decoding
P05-1073.5,core argument frame 
P05-1073.6,dependencies
P05-1073.7,arguments
P05-1073.8,joint model
P05-1073.9,argument frames
P05-1073.10,features
P05-1073.11,discriminative log-linear models
P05-1073.12,error reduction
P05-1073.13, arguments 
P05-1073.14,core arguments
P05-1073.15,classifier 
P05-1073.16,gold-standard parse trees
P05-1073.17, PropBank
P05-3030.1,vocabulary learning
P05-3030.2,texts
P05-3030.3,target corpus
P05-3030.4,target vocabulary 
P05-3030.5,vocabulary
P05-3030.6,target vocabulary
P05-3030.7,English Wikipedia
P05-3030.8, target corpus
P05-3030.9,target vocabulary 
E83-1029.1,scenes descriptions in natural language 
E83-1029.2,syntactic analyzer
E83-1029.3,Procedural Systemic Grammar
E83-1029.4,semantic analyzer
E83-1029.5,Conceptual Dependency Theory
E83-1029.6, dictionary
E89-1006.1,French tenses
E89-1006.2,Discourse Representation Theory 
E89-1006.3,IMS
E89-1006.4,theory of tenses
E89-1006.5,operators
E89-1006.6,meaning
E89-1006.7,tenses
E89-1006.8,tenses
E89-1006.9, meaning 
E89-1006.10,text
E89-1006.11,events 
E89-1006.12,sentence
E89-1006.13,event structure 
E89-1006.14,text
E89-1006.15,system of relevant times 
E89-1006.16,text
E89-1006.17, temporal adverbials 
E89-1006.18,sentence
E89-1006.19,reference times
E89-1006.20,temporal perspective times
E89-1006.21,speech time
E89-1006.22,location time
E89-1006.23,new event 
E89-1006.24,system of relevant times
E89-1006.25,system of temporal coordinates 
E89-1006.26,meaning
E89-1006.27, tenses 
E89-1006.28,resolution component
E89-1006.29,syntactic analysis
E93-1004.1,modal language LT
E93-1004.2,constraints 
E93-1004.3,trees
E93-1004.4,LT (LF)
E93-1004.5,constraints
E93-1004.6,trees decorated with feature structures
E93-1004.7,languages
E93-1004.8,grammatical frameworks
E93-1004.9,GPSG
E93-1004.10,LT (LF)
E93-1004.11, modal languages 
E93-1004.12,constraint formalisms
E99-1029.1,Tree Adjoining Grammars
E99-1029.2,extended domain of locality (EDOL)
E99-1029.3,feature structure unification
E99-1029.4,parsing
E99-1029.5,lexicalized grammars of English
E99-1029.6,LEXSYS
E99-1029.7, XTAG
E99-1029.8,grammars
E99-1029.9,EDOL 
E95-1033.1,sentence-level and text-level anaphora
E95-1033.2,dependency-based grammar model
E95-1033.3,anaphora resolution 
E95-1033.4,sentence boundaries
E95-1033.5,GB's binding theory
E95-1033.6,text-level anaphora 
E95-1033.7,Grosz-Sidner-style focus model
H89-1027.1,phonetically-based spoken language understanding system 
H89-1027.2,SUMMIT
H89-1027.3,heuristic rules
H89-1027.4,knowledge engineering
H89-1027.5,speech knowledge 
H89-1027.6,features 
H89-1027.7,decision strategies
H89-1027.8,speech data
H91-1077.1,sense resolution
H91-1077.2,WordNet
H91-1077.3,lexical database
H91-1077.4,semantic relations
H91-1077.5,synonymy
H91-1077.6,antonymy
H91-1077.7,hyponymy
H91-1077.8, meronymy
H91-1077.9,causal and troponymic entailment
H91-1077.10,labeled pointers 
H91-1077.11,word senses
H91-1077.12,WordNet
H91-1077.13,semantically related words
H91-1077.14,sense resolution
H91-1077.15,text processing
H91-1077.16,word
H91-1077.17,senses 
H91-1077.18,words 
H91-1077.19,meaning
H91-1077.20,alternative senses 
H91-1077.21,polysemous word
H91-1077.22,strings 
H91-1077.23,words
H91-1077.24,context 
H91-1077.25,polysemous word
H91-1077.26,textual corpus 
H91-1077.27,derived strings
H91-1077.28,sense 
H91-1077.29,derived string
H91-1077.30,corpus
H91-1077.31,context 
H91-1077.32,polysemous word
H91-1077.33,corpus
H91-1077.34,words
H91-1077.35,context
H91-1077.36,WordNet
H91-1077.37,semantic distance
H91-1077.38,words 
H91-1077.39,alternative senses
H91-1077.40,polysemous word
H91-1077.41,sense
H91-1077.42,meaning 
H91-1077.43,words
H91-1077.44, context 
H91-1077.45,information retrieval
H91-1077.46,mechanical translation
H91-1077.47,intelligent tutoring systems
A97-1027.1,morphological component
A97-1027.2,NLP-system for Dutch (Dutch Medical Language Processor - DMLP)
A97-1027.3,language independent modules 
A97-1027.4,LSP-MLP system (Linguistic String Project - Medical Language Processor) 
A97-1027.5,language independent developments 
A97-1027.6,idiosyncrasies
A97-1027.7,Dutch
A97-1027.8,patient discharge summary (PDS) 
A97-1027.9,HyperText Mark-Up Language (HTML) technology
A97-1052.1, subcategorization dictionary 
A97-1052.2,textual corpora
A97-1052.3,dictionary entry 
A97-1052.4,relative frequency of occurrence
A97-1052.5,subcategorization classes
A97-1052.6,English
A97-1052.7,verbs
A97-1052.8,multiple complementation patterns
A97-1052.9,accuracy 
A97-1052.10,subcategorization classes
A97-1052.11,subcategorization dictionary 
A97-1052.12,accuracy
A97-1052.13,parser 
J87-3001.1,dictionary word sense definitions
J87-3001.2,phrasal patterns
J87-3001.3,definitions
J87-3001.4,Longman Dictionary of Contemporary English
J87-3001.5,dictionary
J87-3001.6, restricted vocabulary 
J87-3001.7,word sense definitions
J87-3001.8,classification
J87-3001.9,word senses 
J87-3001.10,senses
J87-3001.11,words
J87-3001.12,restricted vocabulary
J87-3001.13,phrasal analysis rules
J87-3001.14,patterns
J87-3001.15,patterns 
J87-3001.16,definitions 
J87-3001.17,analysis mechanism
J87-3001.18,robustness problems 
J87-3001.19,natural language processing systems
J87-3001.20,lexicon
J87-3001.21,knowledge 
J87-3001.22,phrasal constructions
I05-5009.1,evaluation method
I05-5009.2,latent variable model 
I05-5009.3,paraphrases
I05-5009.4,contexts
I05-5009.5,context
I05-5009.6,sentence
I05-5009.7,latent variable
I05-5009.8,model 
I05-5009.9,topic
I05-5009.10,likelihood
I05-5009.11,variable
I05-5009.12,paraphrase 
I05-5009.13,sentences
I05-5009.14,context
I05-5009.15,accuracy
I05-5009.16,models
I05-5009.17,accuracy 
I05-5009.18,method
I05-5009.19, topic information
P83-1003.1,GPSG grammatical formalism
P83-1003.2,non-terminals 
P83-1003.3,category labels
P83-1003.4,schematic variables 
P83-1003.5,grammar 
P83-1003.6,crossed serial dependencies
P83-1003.7,Dutch subordinate clauses
P83-1003.8,constructions 
P83-1003.9,conjunction
P83-1003.10,parsing method
P83-1003.11,GPSG
